open,high,low,close,date
419.825,419.945,419.745,419.875,2021-06-01 11:00:00
419.875,419.895,419.815,419.875,2021-06-01 11:01:00
419.875,419.875,419.725,419.735,2021-06-01 11:02:00
419.735,419.935,419.675,419.855,2021-06-01 11:03:00
419.855,419.895,419.685,419.775,2021-06-01 11:04:00
419.775,419.825,419.555,419.585,2021-06-01 11:05:00
419.585,419.845,419.575,419.805,2021-06-01 11:06:00
419.805,419.895,419.735,419.785,2021-06-01 11:07:00
419.785,419.885,419.785,419.875,2021-06-01 11:08:00
419.875,419.895,419.755,419.875,2021-06-01 11:09:00
419.875,420.005,419.825,420.005,2021-06-01 11:10:00
420.005,420.115,419.985,420.085,2021-06-01 11:11:00
420.085,420.165,420.065,420.165,2021-06-01 11:12:00
420.165,420.195,420.08,420.175,2021-06-01 11:13:00
420.175,420.225,420.135,420.215,2021-06-01 11:14:00
420.215,420.24,420.105,420.125,2021-06-01 11:15:00
420.125,420.165,420.105,420.105,2021-06-01 11:16:00
420.105,420.135,420.045,420.135,2021-06-01 11:17:00
420.135,420.155,420.105,420.115,2021-06-01 11:18:00
420.115,420.185,420.085,420.175,2021-06-01 11:19:00
420.175,420.255,420.165,420.185,2021-06-01 11:20:00
420.185,420.325,420.165,420.235,2021-06-01 11:21:00
420.235,420.265,420.205,420.205,2021-06-01 11:22:00
420.205,420.275,420.205,420.265,2021-06-01 11:23:00
420.265,420.275,420.215,420.225,2021-06-01 11:24:00
420.225,420.305,420.225,420.265,2021-06-01 11:25:00
420.265,420.275,420.195,420.195,2021-06-01 11:26:00
420.195,420.225,420.145,420.185,2021-06-01 11:27:00
420.185,420.215,420.165,420.195,2021-06-01 11:28:00
420.195,420.275,420.195,420.215,2021-06-01 11:29:00
420.215,420.225,420.015,420.115,2021-06-01 11:30:00
420.115,420.155,420.015,420.075,2021-06-01 11:31:00
420.075,420.165,420.055,420.105,2021-06-01 11:32:00
420.105,420.125,419.975,419.985,2021-06-01 11:33:00
419.985,420.145,419.985,420.135,2021-06-01 11:34:00
